ACCELLEROMETRI,NETWORK,CODE,NOME STAZIONE,REGIONE,PROVINCIA,COMUNE,LATITUDINE,LONGITUDINE,PGA(cm/s2)ACCUMOLI
1,IT,OCAN,CANTIANO,MARCHE,PESARO E URBINO,CANTIANO,43.472301,12.6308,11.723
2,RF,OGBV,,UMBRIA,PERUGIA,GUBBIO,43.332901,12.5778,
3,IT,OMBT,CITTA' DI CASTELLO,UMBRIA,PERUGIA,CITTA' DI CASTELLO,43.462101,12.2488,
4,IT,OPIO,PIOBBICO,MARCHE,PESARO E URBINO,PIOBBICO,43.587299,12.5127,
5,IT,OREN,RENZETTI,UMBRIA,PERUGIA,SAN GIUSTINO,43.5462,12.264,
6,RF,OUMO,UMBERTIDE,UMBRIA,PERUGIA,UMBERTIDE,43.285801,12.3345,
7,IT,OUM8,UMBERTIDE,UMBRIA,PERUGIA,UMBERTIDE,43.3041,12.341,
8,IT,ACC,ACCUMOLI,LAZIO,RIETI,ACCUMOLI,42.695999,13.242,
9,IT,ACT,ACQUASANTA TERME,MARCHE,ASCOLI PICENO,ACQUASANTA TERME,42.771301,13.4125,
10,XO,AM05,AMANDOLA-CAMPO SPORTIVO,MARCHE,FERMO,AMANDOLA,42.977404,13.352786,
11,IT,AME,AMELIA,UMBRIA,TERNI,AMELIA,42.559666,12.413994,
12,IT,AMT,AMATRICE,LAZIO,RIETI,AMATRICE,42.63246,13.286176,850.804
13,IT,ANB,ANCONA 2,MARCHE,ANCONA,ANCONA,43.59229,13.507411,30.747
14,IT,ANNI,ANNIFO,UMBRIA,PERUGIA,FOLIGNO,43.05339,12.85663,
15,E,ANP,ANCONA-PALOMBINA,MARCHE,ANCONA,ANCONA,43.602222,13.474167,
16,E,ANR,ANCONA-ROCCA,MARCHE,ANCONA,ANCONA,43.621111,13.512778,
17,IT,ANT,ANTRODOCO,LAZIO,RIETI,ANTRODOCO,42.41811,13.078598,23.083
18,IT,ANZ,ANZIO,LAZIO,ROMA,ANZIO,41.450723,12.625829,
19,IV,APEC,APECCHIO,MARCHE,PESARO E URBINO,APECCHIO,43.55846,12.41991,1.465
20,IT,AQA,L'AQUILA-V.ATERNO-F.ATERNO,ABRUZZO,L'AQUILA,L'AQUILA,42.37553,13.339298,38.713
21,IT,AQF,L'AQUILA-V.ATERNO-FERRIERA,ABRUZZO,L'AQUILA,L'AQUILA,42.380539,13.35474,43.385
22,IT,AQG,L'AQUILA-V.ATERNO-COLLE GRILLI,ABRUZZO,L'AQUILA,L'AQUILA,42.373474,13.337026,58.007
23,IT,AQI,L'AQUILA-V.ATERNO-AQUIL PARK INT,ABRUZZO,L'AQUILA,L'AQUILA,42.3449,13.4009,
24,IT,AQK,L'AQUILA-V.ATERNO-AQUILG,ABRUZZO,L'AQUILA,L'AQUILA,42.344967,13.400949,57.033
25,IT,AQM,L'AQUILA-V.ATERNO-IL MORO,ABRUZZO,L'AQUILA,L'AQUILA,42.378643,13.349262,
26,IT,AQP,L'AQUILA-V.ATERNO-M.PETTINO,ABRUZZO,L'AQUILA,L'AQUILA,42.383686,13.368598,
27,MN,AQU,AQUILA-CASTELLO,ABRUZZO,L'AQUILA,L'AQUILA,42.35388,13.40193,25.342
28,IT,AQV,L'AQUILA-V.ATERNO-CENTRO VALLE,ABRUZZO,L'AQUILA,L'AQUILA,42.377222,13.343888,59.598
29,IT,ARO,AREZZO (NUOVA),TOSCANA,AREZZO,AREZZO,43.466301,11.882868,
30,IT,ARQ,ARQUATA DEL TRONTO,MARCHE,ASCOLI PICENO,ARQUATA DEL TRONTO,42.772222,13.294444,
31,IT,ASP,ASCOLI PICENO,MARCHE,ASCOLI PICENO,ASCOLI PICENO,42.848,13.6479,86.76
32,IT,ASS,ASSISI,UMBRIA,PERUGIA,ASSISI,43.074982,12.604141,42.107
33,IV,ATCC,AVT-CASA CASTALDA,UMBRIA,PERUGIA,VALFABBRICA,43.18514,12.63994,28.37
34,IV,ATFO,MONTE FOCE-GUBBIO,UMBRIA,PERUGIA,GUBBIO,43.3666,12.5715,11.57
35,IT,ATI,ATINA,LAZIO,FROSINONE,ATINA,41.621971,13.794765,
36,IV,ATLO,MONTE LOVESCO,UMBRIA,PERUGIA,GUBBIO,43.3152,12.4073,6.801
37,IT,ATN,ATINA,LAZIO,FROSINONE,ATINA,41.620319,13.801154,3.163
38,E,ATP,ATINA-PRETURA ESTERNO,LAZIO,FROSINONE,ATINA,41.645,13.78333,
39,IV,ATPC,POGGIO CASTELLACCIO,UMBRIA,PERUGIA,PIETRALUNGA,43.4807,12.457,11.207
40,E,ATQ,ATINA-PRETURA PTIMO PIANO,LAZIO,FROSINONE,ATINA,41.645,13.783333,
41,IV,ATTE,AVT-MONTE TEZIO,UMBRIA,PERUGIA,PERUGIA,43.1979,12.3536,4.924
42,IV,ATVO,AVT-MONTE VALENTINO,UMBRIA,PERUGIA,PIETRALUNGA,43.38211,12.40663,6.111
43,IT,AVZ,AVEZZANO,ABRUZZO,L'AQUILA,AVEZZANO,42.027458,13.425929,13.319
44,IT,BOR,,LAZIO,RIETI,BORBONA,42.5075,13.1406,
45,IT,BRS,BARISCIANO,ABRUZZO,L'AQUILA,BARISCIANO,42.324272,13.59007,34.567
46,IT,BSS,BUSSI,ABRUZZO,PESCARA,POPOLI,42.191732,13.845266,20.974
47,IT,BTT2,BORGO OTTOMILA-2(CELANO),ABRUZZO,L'AQUILA,CELANO,41.998333,13.543056,24.94
48,IT,BVG,BEVAGNA,UMBRIA,PERUGIA,BEVAGNA,42.932367,12.611065,49.218
49,IT,BZZ,BAZZANO,ABRUZZO,L'AQUILA,L'AQUILA,42.337025,13.468575,31.787
50,IV,CADA,CAPODARCO,MARCHE,FERMO,FERMO,43.1942,13.7614,33.974
51,IV,CAFI,CASTIGLION FIORENTINO,TOSCANA,AREZZO,CASTIGLION FIORENTINO,43.3292,11.9663,
52,IT,CAG,CASSIGNANO,UMBRIA,PERUGIA,FOLIGNO,43.054444,12.828888,
53,IT,CCT,CITTA' DI CASTELLO (TRESTINA),UMBRIA,PERUGIA,CITTA' DI CASTELLO,43.3683,12.2346,19.119
54,IV,CDCA,CITTA' DI CASTELLO,UMBRIA,PERUGIA,CITTA' DI CASTELLO,43.4584,12.2336,11.898
55,IT,CDS,CASTEL DI SANGRO,ABRUZZO,L'AQUILA,CASTEL DI SANGRO,41.78714,14.11187,
56,IV,CERA,FILIGNANO,MOLISE,ISERNIA,SCAPOLI,41.5978,14.01833,2.809
57,IT,CESM,CESI MONTE,MARCHE,MACERATA,SERRAVALLE DI CHIENTI,43.004665,12.903332,
58,IT,CESV,CESI VALLE,MARCHE,MACERATA,SERRAVALLE DI CHIENTI,43.003888,12.901111,
59,IT,CGL,CAGLI,MARCHE,PESARO E URBINO,CAGLI,43.535278,12.629167,
60,IV,CIMA,CIVITANOVA MARCHE,MARCHE,MACERATA,CIVITANOVA MARCHE,43.305297,13.670091,21.745
61,IV,CING,CINGOLI,MARCHE,MACERATA,CINGOLI,43.3756,13.1954,
62,IT,CIT,CITTEREALE,LAZIO,RIETI,CITTAREALE,42.5942,13.1632,
63,IT,CLC,COLFIORITO CASERMETTE,UMBRIA,PERUGIA,FOLIGNO,43.029388,12.891277,
64,IT,CLF,COLFIORITO ,MARCHE,MACERATA,SERRAVALLE DI CHIENTI,43.036714,12.920428,128.781
65,IT,CLN,CELANO,ABRUZZO,L'AQUILA,CELANO,42.085224,13.520722,7.424
66,IT,CLO,CASTELLUCCIO DI NORCIA,UMBRIA,PERUGIA,NORCIA,42.829399,13.206,
67,IT,CMI,CAMPI,UMBRIA,PERUGIA,NORCIA,42.850399,13.0928,
